"Gene_Symbol"	"N"	"Beta"	"SE"	"tval"	"df"	"pval"	"ci.lb"	"ci.ub"	"adjP"
"GLIS2"	68	0.4743934049428	0.078998992685803	6.00505637875119	67	8.69328582250188e-08	0.316710755582354	0.632076054303247	1.07849253979159e-06
"GLIS3"	59	0.442392401225238	0.0671885184875051	6.58434523016768	58	1.45755599676727e-08	0.307899969034983	0.576884833415492	2.31933336587458e-07
"GLMN"	67	-0.417347142231749	0.0613925395241113	-6.79801072682196	66	3.69824635389408e-09	-0.539921302234713	-0.294772982228785	6.9638795095143e-08
"GLMP"	70	0.0202172438005452	0.0579412857308538	0.348926392390694	69	0.728207104335663	-0.09537245851364	0.135806946114731	0.820506022009705
"GLO1"	70	-0.0937837896371614	0.0509967707621158	-1.83901427944593	69	0.0702161095861845	-0.195519563654319	0.00795198437999632	0.149532809412514
"GLOD4"	70	-0.0851527326811987	0.0412293496566723	-2.06534261127784	69	0.04264931967463	-0.16740303474663	-0.00290243061576721	0.100227482680649
"GLRX"	68	0.62488760798811	0.119597806047144	5.22490862200088	67	1.86026377700056e-06	0.386169387994915	0.863605827981306	1.589536637189e-05
"GLRX2"	68	-0.518474192098419	0.0588738438470465	-8.80652864191114	67	8.50381573607776e-13	-0.635986876250704	-0.400961507946133	5.54798943110814e-11
"GLRX3"	70	-0.297033655083835	0.0417931130567381	-7.1072392879799	69	8.50042084453737e-10	-0.380408634359433	-0.213658675808237	1.92995225356733e-08
"GLRX5"	70	-0.275329255776859	0.0454508195481179	-6.05774017969847	69	6.45745635901437e-08	-0.366001159847243	-0.184657351706474	8.37167135918508e-07
"GLS"	70	0.0497312727328095	0.0657002843643399	0.756941514241026	69	0.451661921432608	-0.0813372083310722	0.180799753796691	0.599818280621332
"GLT8D1"	70	0.121288849470347	0.0449732193090778	2.69691277017087	69	0.00878775357075545	0.0315697318070902	0.211007967133604	0.0267137110739341
"GLT8D2"	43	0.155127888559911	0.0770139314592685	2.01428346301156	42	0.0504133534095095	-0.000292517380152957	0.310548294499974	0.114670734754895
"GLTP"	70	0.27024994979434	0.0487530862498214	5.54323778415833	69	5.06935551370088e-07	0.172990203907931	0.367509695680749	5.00215498242495e-06
"GLUD1"	70	-0.118839298260871	0.0408889241996267	-2.90639337148312	69	0.00491145593153701	-0.200410470121583	-0.0372681264001581	0.0161784846262777
"GLUL"	68	0.133767841791536	0.110282113142374	1.21296045188073	67	0.229404258107206	-0.0863561773402064	0.353891860923278	0.370499726316142
"GLYCTK"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GLYR1"	70	-0.257298585923488	0.0388264659165863	-6.62688657979485	69	6.26824212831786e-09	-0.334755266088599	-0.179841905758376	1.11770214542079e-07
"GM2A"	70	0.110754410401221	0.0542137263086094	2.04292193033837	69	0.0448820322439829	0.00260098566598167	0.218907835136459	0.104429194528966
"GMCL1"	70	0.126184925583561	0.0450925567939	2.79835375404198	69	0.00665296033061505	0.0362277361521076	0.216142115015015	0.0210203613007093
"GMDS"	70	-0.0532686828486343	0.0499322972684946	-1.06681818707838	69	0.28977248439867	-0.152880890350189	0.0463435246529206	0.439252433472856
"GMEB1"	70	-0.0168986126185354	0.04740211942429	-0.356494874570443	69	0.722557819473767	-0.111463253430389	0.0776660281933177	0.816710909639042
"GMEB2"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GMFB"	70	-0.244586322438396	0.0539822831674241	-4.53086286994978	69	2.39733038784189e-05	-0.35227803074027	-0.136894614136523	0.000152153312340797
"GMIP"	67	0.0356779791884398	0.0548506833207419	0.650456421478127	66	0.517655415850794	-0.0738349434849745	0.145190901861854	0.656166610125306
"GMNN"	70	-0.528465729455972	0.0781032716488368	-6.76624318417835	69	3.51873377591285e-09	-0.684277493136694	-0.37265396577525	6.68258155970024e-08
"GMPPA"	60	0.00768058583548855	0.0713477078491942	0.107650071278012	59	0.914638519838661	-0.135085847807941	0.150447019478918	0.94708765040898
"GMPPB"	70	-0.405763940026805	0.0706533103614239	-5.74302800464886	69	2.29219268365912e-07	-0.546713437594476	-0.264814442459134	2.49164422170973e-06
"GMPR"	59	-0.264690599027751	0.101924801946859	-2.59692041556043	58	0.0119005508691887	-0.468715257152819	-0.0606659409026837	0.0344934038129286
"GMPR2"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GMPS"	70	-0.263493727284055	0.0381159000683093	-6.91296091163624	69	1.91191330589274e-09	-0.339532867368015	-0.187454587200096	3.91236724643106e-08
"GNA11"	70	-0.119928078328948	0.045766935570548	-2.62040874779749	69	0.0107929554377563	-0.211230616608921	-0.028625540048975	0.0317224509765882
"GNA12"	70	-0.0809980192404939	0.0384525483148671	-2.10644086777409	69	0.0388051396363795	-0.157708754200428	-0.00428728428056026	0.0928260117992204
"GNA13"	70	0.210351891806107	0.0441516316377003	4.76430618764476	69	1.01374874562289e-05	0.122271796700974	0.298431986911241	7.12740877191981e-05
"GNAI1"	70	0.159555560970019	0.0477239797313475	3.34329957116328	69	0.0013406605095053	0.0643488264142967	0.254762295525742	0.0052448909033239
"GNAI2"	69	0.0527622082858622	0.0428183198805797	1.23223443687225	68	0.222105292408679	-0.0326804187318595	0.138204835303584	0.361887732937368
"GNAI3"	70	-0.00786182542071232	0.0373306528568719	-0.210599730223178	69	0.833820317357391	-0.0823344401804888	0.0666107893390641	0.894294665874753
"GNAL"	65	-0.127702099271283	0.0636885152059522	-2.00510404204475	64	0.0491850984085216	-0.254934534737677	-0.000469663804888998	0.11241873806263
"GNAQ"	70	0.0129628889337317	0.0417809501069232	0.310258356991833	69	0.757299694443675	-0.070387825920899	0.0963136037883624	0.841014409840272
"GNAS"	67	0.302195486297981	0.0533935255275747	5.65977772233667	66	3.55428443281429e-07	0.195591873027204	0.408799099568759	3.67215357655737e-06
"GNAZ"	58	0.0234127687206211	0.12324889882694	0.189963309558621	57	0.850012776656369	-0.223388894075977	0.27021443151722	0.905879860276332
"GNB1"	70	0.0549113010371966	0.0332597035355305	1.65098588381993	69	0.103286160458726	-0.011439992038836	0.121262594113229	0.20276959122891
"GNB1L"	67	-0.305951481587145	0.0710092400678236	-4.3086150660804	66	5.58744454688986e-05	-0.447726003723404	-0.164176959450885	0.000321173088725346
"GNB2"	70	0.0670263143524621	0.0389776528901805	1.7196087856113	69	0.089986586605682	-0.0107319755724449	0.144784604277369	0.182240707028872
"GNB3"	47	-0.114627132267874	0.0963708385651908	-1.18943794590242	46	0.240370810560022	-0.308611569079921	0.0793573045441734	0.383459479400413
"GNB5"	70	0.0547723147529283	0.043144945606576	1.26949551060693	69	0.20852951532734	-0.0312994966699617	0.140844126175818	0.345244363202871
"GNE"	70	0.141716524515877	0.0432830278061965	3.27418232269759	69	0.00165843547509666	0.0553692466419462	0.228063802389808	0.00631171939023252
"GNG10"	70	-0.0753630428770534	0.0407859702301989	-1.84776879038795	69	0.0689222994791204	-0.156728827188489	0.00600274143438216	0.147368393062234
"GNG12"	69	-0.105803726454905	0.0459842956701334	-2.30086652221192	68	0.024471437611774	-0.19756395979834	-0.0140434931114695	0.063547814224347
"GNG4"	59	0.26816905070712	0.0745923638237027	3.59512739589445	58	0.000670271953704655	0.118856211857491	0.417481889556748	0.0028592254763609
"GNG5"	70	-0.0686310674107276	0.0423873107120131	-1.61914181998993	69	0.109978932741573	-0.153191438574384	0.0159293037529288	0.213140110791393
"GNG7"	54	0.370369105346444	0.118832336742983	3.11673670229594	53	0.00295185318873111	0.132021621809942	0.608716588882945	0.0104380690949201
"GNL1"	70	0.0508750217104899	0.0392094616832364	1.29751900501712	69	0.198773956457032	-0.0273457141033055	0.129095757524285	0.333399160841579
"GNL2"	70	-0.26238143177834	0.0467373700799569	-5.61395370191916	69	3.83166140601355e-07	-0.355619933933521	-0.16914292962316	3.9349033938978e-06
"GNL3"	70	-0.266049108337994	0.0493742434335996	-5.3884189374119	69	9.31741216250438e-07	-0.364548028900242	-0.167550187775745	8.66577931189401e-06
"GNL3L"	70	-0.44130290610402	0.0438062144361823	-10.0739794977472	69	3.4405878955422e-15	-0.528693912746687	-0.353911899461354	5.87070159222439e-13
"GNPAT"	70	-0.0302103012631596	0.0413749882979058	-0.73015854519743	69	0.467765103126546	-0.112751144468182	0.0523305419418632	0.613140959934868
"GNPDA1"	70	-0.374581385408436	0.0608009527755824	-6.16078150602383	69	4.24843685085585e-08	-0.495875967382236	-0.253286803434636	5.8752385427484e-07
"GNPDA2"	67	-0.11135429316707	0.0531980321231881	-2.09320323934562	66	0.0401779731666217	-0.217567591262509	-0.00514099507163018	0.0955535328382118
"GNPNAT1"	70	-0.30118354469776	0.054224453154457	-5.55438602284925	69	4.85088981359853e-07	-0.409358368904941	-0.193008720490579	4.81209548062586e-06
"GNPTAB"	70	-0.129026953139368	0.0426063882293129	-3.02834759062255	69	0.00345703171437074	-0.214024371991715	-0.0440295342870217	0.0119650300340415
"GNPTG"	70	0.187352210709136	0.0569992032185675	3.28692683634052	69	0.00159496642968001	0.0736419115834893	0.301062509834783	0.00610097350287324
"GNS"	70	0.125359378905719	0.0476144537593014	2.6328009461041	69	0.0104422238993267	0.0303711426857649	0.220347615125673	0.0308007085765791
"GOLGA1"	70	0.121545167959993	0.0457591354115414	2.65619459080376	69	0.00980823065017093	0.0302581905714672	0.212832145348519	0.0292270516230644
"GOLGA2"	70	0.244841146012247	0.0563194383942379	4.3473648351809	69	4.64942802749099e-05	0.132486940606247	0.357195351418246	0.000273274012998954
"GOLGA2P10"	69	0.402647242231753	0.059672241547032	6.74764734477752	68	4.02817203469519e-09	0.283573138155874	0.521721346307633	7.52169264668161e-08
"GOLGA2P5"	48	0.0522069546614672	0.0799684039056159	0.652844775082486	47	0.517037147350738	-0.108668723293766	0.2130826326167	0.655703962182498
"GOLGA2P7"	70	0.321498651891148	0.0516564479851323	6.22378549883418	69	3.28608290436632e-08	0.218446857822483	0.424550445959814	4.71792174657952e-07
"GOLGA3"	70	0.0930522545929007	0.04531781333141	2.05332622543828	69	0.0438337149678668	0.00264569066471873	0.183458818521083	0.102457267167252
"GOLGA4"	70	0.0451608929837524	0.0475362227578338	0.950031162842235	69	0.34541226129843	-0.0496712766585046	0.139993062626009	0.49840205425888
"GOLGA5"	69	0.222955274240931	0.0467193662884031	4.7722238539069	68	1.00468189888432e-05	0.129728230316332	0.316182318165531	7.07712095301746e-05
"GOLGA6L10"	52	0.50010137741134	0.087599946664908	5.70892330932979	51	5.83980891266241e-07	0.324237146206338	0.675965608616342	5.68151935529287e-06
"GOLGA6L5P"	59	0.304195947080276	0.106696459193751	2.85104069412355	58	0.00602617185127359	0.0906197792157566	0.517772114944796	0.0192834021934436
"GOLGA6L9"	66	0.456099674554419	0.0667675981548318	6.83115294183175	65	3.44418102596721e-09	0.32275557322712	0.589443775881718	6.5691163815997e-08
"GOLGA7"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GOLGA7B"	45	1.22654387667943	0.223785049371896	5.48090178553932	44	1.94259005282388e-06	0.775534744530011	1.67755300882884	1.65414712290746e-05
"GOLGA8A"	69	0.902044248056448	0.0946166897745541	9.53366948479993	68	3.70502780324634e-14	0.713239583216589	1.09084891289631	4.2582863591508e-12
"GOLGA8B"	70	0.278910230028741	0.0775250950422078	3.59767672489651	69	0.000599310660260121	0.124251897118535	0.433568562938946	0.00259090022722471
"GOLGA8H"	48	0.35045314940452	0.115006202607091	3.04725433463631	47	0.00378224734991602	0.119090512289621	0.581815786519419	0.0129491913437008
"GOLGA8K"	38	0.634027160179741	0.136588797854993	4.64186792867776	37	4.24054127170688e-05	0.357271967431748	0.910782352927735	0.000252046319638269
"GOLGA8N"	54	0.877082623555536	0.124177876575143	7.06311500684095	53	3.5694254517787e-09	0.628013344907867	1.12615190220321	6.75571632861393e-08
"GOLGA8O"	47	0.969504110018967	0.197608815894791	4.90617842948435	46	1.20349255924204e-05	0.571738194196663	1.36727002584127	8.30353715368799e-05
"GOLGB1"	70	0.324017513445063	0.0390355504769609	8.30057497552905	69	5.63717859130947e-12	0.246143720994863	0.401891305895263	2.77875323360948e-10
"GOLIM4"	70	-0.170113433400848	0.0399470100558871	-4.25847724680406	69	6.37781934523901e-05	-0.249805537959083	-0.0904213288426135	0.000361176381710727
